Date,Index,1M,2M,3M,6M,1Y,2Y,3Y,4Y,5Y,6Y,7Y,8Y,9Y,10Y
2/29/1992,,0.0961,0.0961,0.0961,0.0958,0.0898,0.0864,0.0849,0.0837,0.0826,0.0817,0.081,0.0806,0.0803,0.0804
3/31/1992,,0.097,0.097,0.097,0.0969,0.0912,0.0889,0.0877,0.0864,0.0852,0.0841,0.0833,0.0827,0.0823,0.0823
4/30/1992,,0.0975,0.0975,0.0975,0.0975,0.092,0.0892,0.0877,0.0862,0.0848,0.0837,0.0828,0.0822,0.0817,0.0816
5/31/1992,,0.0978,0.09785,0.0979,0.0979,0.092,0.0889,0.0874,0.086,0.0847,0.0836,0.0828,0.0821,0.0817,0.0815
6/30/1992,,0.0974,0.09745,0.0975,0.0975,0.0931,0.0904,0.0889,0.0874,0.086,0.0848,0.0839,0.0832,0.0827,0.0825
7/31/1992,,0.0977,0.09775,0.0978,0.0978,0.0936,0.0909,0.0892,0.0876,0.0861,0.0849,0.084,0.0834,0.0831,0.0832
8/31/1992,,0.0984,0.0986,0.0988,0.0989,0.0952,0.0916,0.0894,0.0875,0.0858,0.0843,0.0832,0.0824,0.0819,0.0817
9/30/1992,,0.0947,0.09485,0.095,0.0949,0.084,0.0821,0.0813,0.0806,0.0798,0.0791,0.0787,0.0784,0.0782,0.0783
10/31/1992,,0.0898,0.0896,0.0894,0.0862,0.0768,0.0748,0.0743,0.074,0.0738,0.0739,0.0743,0.0748,0.0756,0.0766
11/30/1992,,0.0897,0.08955,0.0894,0.0861,0.0766,0.0739,0.0734,0.0734,0.0734,0.0737,0.0741,0.0746,0.0752,0.0761
12/31/1992,,0.0914,0.0909,0.0904,0.0865,0.0771,0.0733,0.0721,0.0716,0.0714,0.0717,0.0723,0.073,0.074,0.0751
1/31/1993,,0.087,0.08645,0.0859,0.0816,0.0742,0.0715,0.0708,0.0705,0.0705,0.0707,0.0713,0.072,0.073,0.0743
2/28/1993,,0.0861,0.08505,0.084,0.08,0.0687,0.0651,0.0645,0.0646,0.065,0.0656,0.0665,0.0675,0.0687,0.0701
3/31/1993,,0.0839,0.08185,0.0798,0.0754,0.0668,0.0637,0.0636,0.064,0.0647,0.0655,0.0665,0.0675,0.0686,0.07
4/30/1993,,0.0815,0.08035,0.0792,0.0755,0.0679,0.0643,0.0641,0.0646,0.0653,0.0662,0.0673,0.0685,0.0697,0.0712
5/31/1993,,0.0772,0.07615,0.0751,0.0721,0.0674,0.0652,0.0653,0.0659,0.0666,0.0674,0.0683,0.0693,0.0704,0.0717
6/30/1993,,0.0779,0.07695,0.076,0.073,0.0669,0.0641,0.0639,0.0644,0.0651,0.066,0.067,0.0679,0.0688,0.0697
7/31/1993,,0.0734,0.0729,0.0724,0.0701,0.0643,0.0612,0.0611,0.0619,0.063,0.0643,0.0657,0.0669,0.0679,0.0685
8/31/1993,,0.0681,0.0671,0.0661,0.0646,0.0607,0.0593,0.0595,0.0601,0.0609,0.062,0.0631,0.0642,0.0651,0.0656
9/30/1993,,0.0685,0.0674,0.0663,0.064,0.0599,0.0582,0.0579,0.0583,0.059,0.0601,0.0614,0.0625,0.0632,0.0633
10/31/1993,,0.0675,0.06695,0.0664,0.0636,0.0571,0.0556,0.0551,0.0554,0.0563,0.0577,0.0593,0.0607,0.0616,0.0617
